BORO;STREET
Manhattan;91 BAYARD STREET
Manhattan;0 at GRAND CENTRAL
Manhattan;1588 YORK AVENUE
Manhattan;533 HUDSON STREET
Manhattan;39 WEST   32nd STREET
Queens;56-01 MYRTLE AVENUE
Manhattan;231 WEST   46th STREET
Manhattan;28 EAST   18th STREET
Manhattan;50 CARMINE STREET
Bronx;1 EAST BURNSIDE AVENUE
Brooklyn;1972 86th STREET
Queens;3542 UNION ST
Manhattan;161 EAST   22nd STREET
Bronx;269 WEST KINGSBRIDGE ROAD
Manhattan;350 5th AVENUE
Manhattan;48 west 48th street
Manhattan;116 MACDOUGAL STREET
Queens;4309 48TH AVE
Queens;11307 SUTPHIN BOULEVARD
Queens;16402 CROSSBAY BLVD
Brooklyn;6808 BAY PARKWAY
Brooklyn;180 REMSEN STREET
Manhattan;223 MADISON STREET
Manhattan;120 EAST   34th STREET
Staten Island;379 VAN DUZER STREET
Brooklyn;154 PROSPECT PARK SOUTHWEST
Staten Island;1267 FOREST AVENUE
Queens;9106 JAMAICA AVENUE
Manhattan;47 BOND STREET
Manhattan;485 5th AVENUE
Manhattan;148 WEST   49th STREET
Manhattan;10 MURRAY STREET
Manhattan;76 MADISON AVENUE
Brooklyn;155 YORK STREET
Queens;41-42 MAIN STREET
Manhattan;939 8th AVENUE
Manhattan;174 2nd AVENUE
Manhattan;243 WEST  116th STREET
Queens;10-01 50th AVENUE
Bronx;1021 OGDEN AVENUE
Manhattan;200 EAST   54th STREET
Manhattan;357 WEST   16th STREET
Manhattan;285 SAINT NICHOLAS AVENUE
Manhattan;474 COLUMBUS AVENUE
Brooklyn;303 HALSEY STREET
Manhattan;415 SECOND AVENUE
Brooklyn;155 ATLANTIC AVENUE
Manhattan;61 GROVE STREET
Brooklyn;557 KINGS HIGHWAY
Bronx;1 EAST  161st STREET
Queens;3438 38TH ST
Queens;3926 BELL BOULEVARD
Queens;79-28 PARSONS BOULEVARD
Bronx;2703 EAST TREMONT AVENUE
Brooklyn;96 WYTHE AVENUE
Brooklyn;258 DEKALB AVENUE
Brooklyn;1217 AVENUE U
Manhattan;70 BAYARD STREET
Queens;16207 DEPOT RD
Brooklyn;247 METROPOLITAN AVENUE
Manhattan;214 10th AVENUE
Manhattan;1565 SECOND AVENUE
Brooklyn;300 LIVINGSTON STREET
Brooklyn;225 SOUTH    1st STREET
Brooklyn;180 REMSEN STREET
Manhattan;3452 BROADWAY
Queens;4247 MAIN ST
Brooklyn;556 DRIGGS AVENUE
Queens;775 WOODWARD AVENUE
Queens;27-06 QUEENS PLAZA SOUTH
Brooklyn;1221 QUENTIN ROAD
Queens;46-40 FRANCIS LEWIS BOULEVARD
Manhattan;4020 BROADWAY
Queens;32-39 JUNCTION BOULEVARD
Brooklyn;348 WYTHE AVENUE
Manhattan;145 WEST   72nd STREET
Bronx;3555 JOHNSON AVENUE
Queens;20509 HOLLIS AVE
Queens;25-21 ASTORIA BOULEVARD
Brooklyn;234 COURT STREET
Brooklyn;1961 FLATBUSH AVENUE
Manhattan;88 WEST    3rd STREET
Bronx;1930 GRAND CONCOURSE
Brooklyn;80 LAFAYETTE AVENUE
Manhattan;15 WEST   18th STREET
Brooklyn;1221 QUENTIN ROAD
Brooklyn;2478 CONEY ISLAND AVENUE
Bronx;3496 JEROME AVENUE
Queens;9614 ROOSEVELT AVENUE
Manhattan;27 ELDRIDGE STREET
Manhattan;174 ELIZABETH STREET
Manhattan;303 PARK AVENUE SOUTH
Manhattan;848 WASHINGTON STREET
Manhattan;83 CANAL STREET
Brooklyn;868 BEDFORD AVENUE
Queens;27-09 21st STREET
Manhattan;795 9th AVENUE
Brooklyn;3337 FULTON STREET
Queens;123-01 ROOSEVELT AVENUE
Queens;1266 150TH ST
Brooklyn;266 KINGSTON AVENUE
Manhattan;1125 LEXINGTON AVENUE
Manhattan;15 AVENUE D
Brooklyn;414 BRIGHTON BEACH AVENUE
Queens;72-12 NORTHERN BOULEVARD
Manhattan;1475 1st AVENUE
Manhattan;350 EAST   53rd STREET
Brooklyn;68 BERGEN STREET
Manhattan;132 4th AVENUE
Brooklyn;376 MYRTLE AVENUE
Manhattan;514 LEXINGTON AVENUE
Bronx;1862 WEBSTER AVENUE
Bronx;1820 ARCHER STREET
Manhattan;196 8th AVENUE
Queens;40-24 COLLEGE POINT BOULEVARD
Brooklyn;394 COURT STREET
Queens;160-08 46th AVENUE
Bronx;842 EAST  180th STREET
Manhattan;42 EAST   58th STREET
Manhattan;485 AMSTERDAM AVENUE
Manhattan;148 8TH AVE
Queens;30-09 BROADWAY
Manhattan;4187 BROADWAY
Queens;4287 MAIN ST
Bronx;2959 WEBSTER AVENUE
Manhattan;3845 BROADWAY
Manhattan;17 ORCHARD STREET
Queens;6340 WOODHAVEN BLVD
Manhattan;34 WEST   35th STREET
Bronx;216 WEST  238th STREET
Bronx;21 EAST  170th STREET
Bronx;2519 WEBSTER AVENUE
Brooklyn;7203 18th AVENUE
Manhattan;48 WEST   48th STREET
Manhattan;1378 LEXINGTON AVENUE
Brooklyn;1 METROTECH CTR FL 2ND
Manhattan;1308 MADISON AVENUE
Manhattan;132 WEST   31st STREET
Brooklyn;2310 86th STREET
Brooklyn;5601 2ND AVE
Queens;2280 STEINWAY ST
Bronx;2431 JEROME AVENUE
Manhattan;30 WEST   18th STREET
Brooklyn;1103 KINGS HIGHWAY
Brooklyn;552 COURT STREET
Brooklyn;2472 86th STREET
Manhattan;184 1st AVENUE
Queens;72-12 NORTHERN BOULEVARD
Manhattan;3881 BROADWAY
Brooklyn;1778 RALPH AVENUE
Manhattan;8 EAST   18th STREET
Manhattan;22 EAST   17th STREET
Manhattan;805 3rd AVENUE
Queens;8959 164TH ST
Manhattan;11 WEST   32nd STREET
Brooklyn;171 GRAND STREET
Manhattan;2479 BROADWAY
Brooklyn;5014-16 8TH AVE
Manhattan;120 1st AVENUE
Manhattan;1109 1st AVENUE
Queens;160-53 ROCKAWAY BOULEVARD
Manhattan;235 EAST   42nd STREET
Bronx;2274 JEROME AVENUE
Queens;17903 JAMAICA AVE
Manhattan;40 RIVINGTON STREET
Brooklyn;317 9th STREET
Queens;5514 37TH AVE
Brooklyn;1420 ROCKAWAY PARKWAY
Manhattan;9 ST MARKS PLACE
Bronx;2181 GRAND CONCOURSE
Brooklyn;256 PROSPECT PARK WEST
Queens;135-20 ROOSEVELT AVENUE
Manhattan;151 EAST   50th STREET
Manhattan;150 EAST   44th STREET
Manhattan;59 AUDUBON AVENUE
Bronx;4685 MANHATTAN COLLEGE PARKWAY
Brooklyn;887 MANHATTAN AVENUE
Brooklyn;96 BERRY STREET
Queens;13841 JAMAICA AVENUE
Brooklyn;4620 CHURCH AVENUE
Manhattan;235 MULBERRY STREET
Manhattan;130 CHURCH STREET
Manhattan;285 WEST   12nd STREET
Manhattan;1270A ST NICHOLAS AVENUE
Queens;9414 63RD DR
Manhattan;177 9th AVENUE
Queens;4620 QUEENS BLVD
Queens;138-13 QUEENS BOULEVARD
Manhattan;253 5th AVENUE
Queens;10610 37TH AVE
Queens;119-09 ATLANTIC AVENUE
Bronx;387 EAST FORDHAM ROAD
Brooklyn;446 DEAN STREET
Manhattan;6 BOND STREET
Manhattan;401 GREENWICH STREET
Staten Island;958 POST AVENUE
Bronx;3732 EAST TREMONT AVENUE
Brooklyn;250 DEKALB AVENUE
Manhattan;226 EAST   54th STREET
Brooklyn;420 86th STREET
Queens;40-07 JUNCTION BOULEVARD
Queens;15929 JAMAICA AVE
Brooklyn;7006 FORT HAMILTON PARKWAY
Brooklyn;168 7th AVENUE
Queens;8221 153RD AVE
Manhattan;341 ST NICHOLAS AVENUE
Queens;83-22 37th AVENUE
Brooklyn;4413 NEW UTRECHT AVENUE
Brooklyn;253 LIVINGSTON STREET
Brooklyn;450 DEAN STREET
Manhattan;187 WEST    4th STREET
Queens;JFK INT'L AIRPORT
Brooklyn;2343 UTICA AVENUE
Brooklyn;5924 8TH AVE
Brooklyn;407 SMITH STREET
Brooklyn;57 4th AVENUE
Brooklyn;1051 FLATBUSH AVENUE
Manhattan;2787 BROADWAY
Queens;9120 59th AVENUE
Queens;4701 111TH ST
Manhattan;84 EAST    4th STREET
Brooklyn;2107 CORTELYOU ROAD
Manhattan;146 DELANCEY STREET
Manhattan;1364 LEXINGTON AVENUE
Staten Island;24 GIFFORDS LANE
Bronx;1 EAST BEDFORD PARK BOULEVARD
Manhattan;1268 AMSTERDAM AVENUE
Manhattan;80 JOHN STREET
Manhattan;409 EAST   59th STREET
Brooklyn;59 5th AVENUE
Manhattan;460 WEST   34th STREET
Manhattan;55 WEST   21st STREET
Brooklyn;2343 UTICA AVENUE
Queens;3305 BROADWAY
Manhattan;68 GREENWICH AVENUE
Manhattan;1 WEST   58th STREET
Brooklyn;134 KINGSLAND AVENUE
Brooklyn;1148 LIBERTY AVENUE
Bronx;1041 PROSPECT AVENUE
Manhattan;38 MACDOUGAL STREET
Manhattan;430 LAFAYETTE STREET
Manhattan;12 JOHN STREET
Manhattan;39 WEST   46th STREET
Staten Island;139 NEW DORP LANE
